major_themescl,year,count
B/T,2000,6
B/T,2001,11
B/T,2002,14
B/T,2003,12
B/T,2004,18
B/T,2005,33
B/T,2006,34
B/T,2007,111
B/T,2008,126
B/T,2009,749
B/T,2010,3245
B/T,2011,2644
B/T,2012,271
B/T,2013,247
B/T,2014,209
B/T,2015,717
B/T,2016,509
B/T,2017,409
B/T,2018,872
B/T,2019,651
B/T,2020,1234
B/T,2021,2478
B/T,2022,2419
B/T,2023,49
BLS,2000,85
BLS,2001,125
BLS,2002,203
BLS,2003,194
BLS,2004,260
BLS,2005,311
BLS,2006,380
BLS,2007,393
BLS,2008,473
BLS,2009,530
BLS,2010,864
BLS,2011,1369
BLS,2012,712
BLS,2013,817
BLS,2014,980
BLS,2015,1096
BLS,2016,947
BLS,2017,1063
BLS,2018,1321
BLS,2019,1580
BLS,2020,1397
BLS,2021,1115
BLS,2022,949
BLS,2023,90
ENV,2000,3
ENV,2001,3
ENV,2002,6
ENV,2003,8
ENV,2004,8
ENV,2005,11
ENV,2006,23
ENV,2007,24
ENV,2008,24
ENV,2009,83
ENV,2010,535
ENV,2011,692
ENV,2012,78
ENV,2013,61
ENV,2014,76
ENV,2015,140
ENV,2016,137
ENV,2017,91
ENV,2018,112
ENV,2019,88
ENV,2020,128
ENV,2021,620
ENV,2022,292
ENV,2023,13
HSC,2000,110
HSC,2001,152
HSC,2002,167
HSC,2003,216
HSC,2004,253
HSC,2005,298
HSC,2006,317
HSC,2007,347
HSC,2008,417
HSC,2009,464
HSC,2010,849
HSC,2011,676
HSC,2012,552
HSC,2013,630
HSC,2014,894
HSC,2015,834
HSC,2016,773
HSC,2017,678
HSC,2018,828
HSC,2019,908
HSC,2020,1059
HSC,2021,1359
HSC,2022,1911
HSC,2023,139
HUM,2000,7
HUM,2001,10
HUM,2002,4
HUM,2004,12
HUM,2005,10
HUM,2006,11
HUM,2007,13
HUM,2008,19
HUM,2009,49
HUM,2010,138
HUM,2011,158
HUM,2012,17
HUM,2013,31
HUM,2014,27
HUM,2015,153
HUM,2016,115
HUM,2017,84
HUM,2018,110
HUM,2019,57
HUM,2020,68
HUM,2021,178
HUM,2022,344
HUM,2023,13
PHY,2000,31
PHY,2001,38
PHY,2002,36
PHY,2003,48
PHY,2004,59
PHY,2005,91
PHY,2006,135
PHY,2007,254
PHY,2008,143
PHY,2009,393
PHY,2010,3087
PHY,2011,1620
PHY,2012,436
PHY,2013,450
PHY,2014,424
PHY,2015,509
PHY,2016,472
PHY,2017,483
PHY,2018,684
PHY,2019,567
PHY,2020,601
PHY,2021,745
PHY,2022,596
PHY,2023,47
SOC,2000,6
SOC,2001,14
SOC,2002,14
SOC,2003,12
SOC,2004,24
SOC,2005,29
SOC,2006,40
SOC,2007,45
SOC,2008,76
SOC,2009,243
SOC,2010,1145
SOC,2011,951
SOC,2012,116
SOC,2013,155
SOC,2014,109
SOC,2015,592
SOC,2016,500
SOC,2017,302
SOC,2018,429
SOC,2019,310
SOC,2020,533
SOC,2021,1164
SOC,2022,1261
SOC,2023,35
